story_id,Iteration,isComplaint_C1,engagement_C1,organisationalLearning_C1,isComplaint_C2,engagement_C2,organisationalLearning_C2
412,Iteration_3,1,2,1,1,0,0
422,Iteration_3,1,0,0,1,0,0
427,Iteration_3,1,0,0,1,0,0
436,Iteration_3,1,1,0,1,0,0
448,Iteration_3,1,0,0,1,0,0
143,Iteration_3,1,0,0,1,0,0
154,Iteration_3,1,2,0,1,0,0
151,Iteration_3,1,2,0,1,0,0
179,Iteration_3,1,2,0,1,0,0
162,Iteration_3,1,0,0,1,0,0
140,Iteration_4,1,2,1,1,1,1
311,Iteration_4,1,2,0,1,2,1
36,Iteration_4,1,0,0,1,0,0
297,Iteration_4,1,2,0,1,2,0
64,Iteration_4,0,0,0,0,0,0
387,Iteration_4,1,2,0,1,2,0
42,Iteration_4,1,0,0,1,0,0
301,Iteration_4,1,2,0,0,0,0
102,Iteration_4,1,2,0,1,2,0
248,Iteration_4,1,1,0,1,0,0
92,Iteration_4,1,0,1,1,0,1
307,Iteration_4,0,0,0,0,0,0
303,Iteration_4,1,2,1,1,2,1
34,Iteration_4,0,0,0,0,0,0
239,Iteration_4,0,0,0,0,0,0
315,Iteration_4,1,2,0,1,1,1
361,Iteration_4,1,2,0,1,2,1
388,Iteration_4,1,2,0,1,2,0
126,Iteration_4,1,2,0,1,1,0
424,Iteration_4,1,0,0,1,0,0
101,Iteration_4,1,2,0,1,2,1
95,Iteration_4,1,2,1,1,2,1
187,Iteration_4,0,0,0,0,0,0
378,Iteration_4,1,2,0,1,2,0
198,Iteration_4,1,2,0,1,2,0
93,Iteration_4,1,0,0,1,0,0
164,Iteration_4,1,2,1,1,2,1
437,Iteration_4,1,0,0,1,0,0
199,Iteration_4,1,1,1,1,0,0
357,Iteration_4,0,0,0,0,0,0
447,Iteration_4,1,0,0,1,0,0
209,Iteration_4,1,2,1,1,2,1
204,Iteration_4,1,2,0,1,1,0
148,Iteration_4,1,1,0,1,2,0
91,Iteration_4,0,0,0,0,0,0
402,Iteration_4,1,2,1,1,2,1
262,Iteration_4,1,0,0,1,0,0
212,Iteration_4,1,2,1,1,2,1
247,Iteration_4,0,0,0,0,0,0
192,Iteration_4,1,0,0,1,0,0
114,Iteration_4,1,2,1,1,2,1
111,Iteration_4,1,0,0,1,0,0
383,Iteration_4,1,2,0,1,2,0
155,Iteration_4,1,2,0,1,2,0
411,Iteration_4,1,2,1,1,2,1
250,Iteration_4,0,0,0,0,0,0
75,Iteration_4,1,2,0,1,2,0
413,Iteration_4,1,2,0,1,2,1
234,Iteration_4,0,0,0,0,0,0
189,Iteration_4,0,0,0,0,0,0
180,Iteration_5,1,0,0,1,0,0
147,Iteration_5,1,2,0,1,2,0
367,Iteration_5,1,0,0,1,0,0
120,Iteration_5,1,0,1,1,0,1
231,Iteration_5,1,2,1,1,2,1
153,Iteration_5,0,0,0,0,0,0
308,Iteration_5,1,2,0,1,2,0
322,Iteration_5,1,1,1,1,1,1
416,Iteration_5,0,0,0,0,0,0
421,Iteration_5,1,2,0,1,2,0
123,Iteration_5,1,0,0,0,0,0
152,Iteration_5,0,0,0,0,0,0
260,Iteration_5,0,0,0,0,0,0
403,Iteration_5,0,0,0,0,0,0
215,Iteration_5,1,2,0,1,2,0
295,Iteration_5,1,2,0,1,2,0
442,Iteration_5,0,0,0,0,0,0
355,Iteration_5,0,0,0,0,0,0
11,Iteration_5,1,0,0,1,0,0
128,Iteration_5,1,2,0,1,2,0
78,Iteration_5,0,0,0,0,0,0
24,Iteration_5,1,2,0,1,2,1
326,Iteration_5,1,2,1,1,2,1
316,Iteration_5,0,0,0,0,0,0
296,Iteration_5,1,2,0,1,2,0
332,Iteration_5,1,1,0,1,0,0
290,Iteration_5,1,0,0,1,0,0
343,Iteration_5,1,1,1,1,1,1
87,Iteration_5,1,0,0,1,0,0
275,Iteration_5,0,0,0,0,0,0
20,Iteration_5,0,0,0,0,0,0
328,Iteration_5,1,2,0,1,2,1
256,Iteration_5,1,2,1,1,2,1
50,Iteration_5,0,0,0,0,0,0
265,Iteration_5,1,2,0,1,2,0
282,Iteration_5,0,0,0,0,0,0
429,Iteration_5,0,0,0,0,0,0
27,Iteration_5,1,2,0,1,2,0
244,Iteration_5,0,0,0,0,0,0
172,Iteration_5,1,0,0,1,0,0
113,Iteration_5,1,0,0,1,0,0
38,Iteration_5,1,2,0,1,1,0
142,Iteration_5,1,2,0,1,2,1
122,Iteration_5,0,0,0,0,0,0
29,Iteration_5,1,2,1,1,2,1
48,Iteration_5,0,0,0,0,0,0
15,Iteration_5,0,0,0,0,0,0
160,Iteration_5,1,1,1,1,2,1
173,Iteration_5,1,2,0,1,2,0
168,Iteration_5,1,2,0,1,2,0
51,Iteration_6,0,0,0,0,0,0
26,Iteration_6,1,0,0,1,0,0
445,Iteration_6,0,0,0,0,0,0
281,Iteration_6,1,2,1,1,2,1
163,Iteration_6,1,2,0,1,2,1
304,Iteration_6,1,2,1,1,2,1
393,Iteration_6,0,0,0,0,0,0
190,Iteration_6,1,2,1,1,2,1
8,Iteration_6,1,2,0,1,2,1
430,Iteration_6,0,0,0,0,0,0
356,Iteration_6,1,0,0,1,0,0
334,Iteration_6,0,0,0,0,0,0
71,Iteration_6,0,0,0,0,0,0
165,Iteration_6,1,2,1,1,1,1
269,Iteration_6,1,2,0,1,1,1
5,Iteration_6,1,0,1,1,0,1
364,Iteration_6,0,0,0,0,0,0
271,Iteration_6,1,1,0,1,1,0
83,Iteration_6,1,2,0,1,2,0
206,Iteration_6,0,0,0,0,0,0
449,Iteration_6,0,0,0,0,0,0
104,Iteration_6,1,2,0,1,2,1
6,Iteration_6,0,0,0,0,0,0
222,Iteration_6,1,2,0,1,2,0
145,Iteration_6,1,2,0,1,2,0
292,Iteration_6,1,2,0,1,2,0
200,Iteration_6,1,1,0,1,1,1
98,Iteration_6,1,2,0,1,2,0
61,Iteration_6,1,2,0,1,2,1
125,Iteration_6,1,2,0,1,2,1
252,Iteration_6,1,2,0,1,1,1
197,Iteration_6,1,0,0,1,0,0
208,Iteration_6,1,2,1,1,2,1
236,Iteration_6,0,0,0,0,0,0
348,Iteration_6,0,0,0,0,0,0
121,Iteration_6,1,0,0,1,1,0
90,Iteration_6,0,0,0,0,0,0
99,Iteration_6,1,0,0,1,0,0
219,Iteration_6,1,0,0,1,0,0
58,Iteration_6,1,2,0,1,2,0
133,Iteration_6,1,2,0,1,2,0
286,Iteration_6,0,0,0,0,0,0
138,Iteration_6,0,0,0,0,0,0
291,Iteration_6,0,0,0,0,0,0
285,Iteration_6,1,2,1,1,2,1
56,Iteration_6,0,0,0,0,0,0
372,Iteration_6,0,0,0,0,0,0
193,Iteration_6,0,0,0,0,0,0
119,Iteration_6,1,0,0,1,0,0
280,Iteration_6,0,0,0,0,0,0
203,Iteration_7,1,2,0,1,1,0
97,Iteration_7,1,2,1,1,2,1
216,Iteration_7,1,2,0,1,2,0
191,Iteration_7,0,0,0,0,0,0
40,Iteration_7,1,2,0,1,2,0
70,Iteration_7,0,0,0,0,0,0
266,Iteration_7,0,0,0,0,0,0
235,Iteration_7,1,0,1,1,0,1
284,Iteration_7,0,0,0,0,0,0
386,Iteration_7,1,1,1,1,2,1
377,Iteration_7,1,2,0,1,2,1
359,Iteration_7,0,0,0,0,0,0
129,Iteration_7,1,2,1,1,2,1
211,Iteration_7,1,2,0,1,2,0
400,Iteration_7,0,0,0,0,0,0
84,Iteration_7,1,2,0,1,2,1
398,Iteration_7,0,0,0,0,0,0
310,Iteration_7,1,2,1,1,1,1
294,Iteration_7,0,0,0,0,0,0
255,Iteration_7,1,1,0,1,0,0
57,Iteration_7,1,1,0,1,2,1
30,Iteration_7,0,0,0,0,0,0
156,Iteration_7,1,2,0,1,2,1
46,Iteration_7,1,1,0,1,1,0
241,Iteration_7,1,1,0,1,0,0
43,Iteration_7,1,1,0,1,1,0
391,Iteration_7,1,2,0,1,1,0
312,Iteration_7,0,0,0,0,0,0
405,Iteration_7,1,2,1,1,2,1
3,Iteration_7,0,0,0,0,0,0
263,Iteration_7,0,0,0,0,0,0
225,Iteration_7,1,2,0,1,2,0
264,Iteration_7,0,0,0,0,0,0
375,Iteration_7,0,0,0,0,0,0
305,Iteration_7,1,1,0,1,2,0
288,Iteration_7,0,0,0,0,0,0
85,Iteration_7,0,0,0,0,0,0
229,Iteration_7,0,0,0,0,0,0
141,Iteration_7,0,0,0,0,0,0
207,Iteration_7,0,0,0,0,0,0
276,Iteration_7,0,0,0,0,0,0
417,Iteration_7,0,0,0,0,0,0
353,Iteration_7,1,2,1,1,2,1
31,Iteration_7,0,0,0,0,0,0
329,Iteration_7,0,0,0,0,0,0
178,Iteration_7,0,0,0,0,0,0
363,Iteration_7,0,0,0,0,0,0
426,Iteration_7,0,0,0,0,0,0
397,Iteration_7,0,0,0,0,0,0
333,Iteration_7,0,0,0,0,0,0
268,Iteration_7,1,2,0,1,1,0
415,Iteration_7,0,0,0,0,0,0
150,Iteration_7,1,0,0,1,0,0
243,Iteration_7,1,1,0,1,1,0
25,Iteration_7,1,2,1,1,2,1
380,Iteration_7,0,0,0,0,0,0
220,Iteration_7,1,0,0,1,0,0
249,Iteration_7,0,0,0,0,0,0
409,Iteration_7,0,0,0,0,0,0
344,Iteration_7,0,0,0,0,0,0
106,Iteration_7,1,2,0,1,2,1
419,Iteration_7,0,0,0,0,0,0
116,Iteration_7,0,0,0,0,0,0
441,Iteration_7,0,0,0,0,0,0
382,Iteration_7,0,0,0,0,0,0
166,Iteration_7,1,2,0,1,1,0
258,Iteration_7,0,0,0,0,0,0
33,Iteration_7,1,2,0,1,2,1
2,Iteration_7,0,0,0,0,0,0
406,Iteration_7,0,0,0,0,0,0
277,Iteration_7,0,0,0,0,0,0
246,Iteration_7,1,2,0,1,2,0
135,Iteration_7,1,0,1,1,0,1
157,Iteration_7,1,2,0,1,1,0
53,Iteration_7,1,2,0,1,2,1
218,Iteration_7,0,0,0,0,0,0
390,Iteration_7,0,0,0,0,0,0
433,Iteration_7,0,0,0,0,0,0
293,Iteration_7,0,0,0,0,0,0
232,Iteration_7,0,0,0,0,0,0
52,Iteration_7,0,0,0,0,0,0
210,Iteration_7,0,0,0,0,0,0
146,Iteration_7,0,0,0,0,0,0
144,Iteration_7,0,0,0,0,0,0
23,Iteration_7,1,2,1,1,2,1
399,Iteration_7,0,0,0,0,0,0
385,Iteration_7,0,0,0,0,0,0
137,Iteration_7,0,0,0,0,0,0
273,Iteration_7,1,2,0,1,2,0
342,Iteration_7,0,0,0,0,0,0
395,Iteration_7,0,0,0,0,0,0
302,Iteration_7,0,0,0,0,0,0
331,Iteration_7,1,2,0,1,1,1
59,Iteration_7,0,0,0,0,0,0
10,Iteration_7,1,1,1,1,2,1
69,Iteration_7,0,0,0,0,0,0
17,Iteration_7,0,0,0,0,0,0
214,Iteration_7,1,2,0,1,2,1
80,Iteration_7,0,0,0,0,0,0
336,Iteration_7,0,0,0,0,0,0
158,Iteration_7,0,0,0,0,0,0
373,Iteration_7,0,0,0,0,0,0
425,Iteration_7,0,0,0,0,0,0
384,Iteration_7,0,0,0,0,0,0
242,Iteration_7,1,2,0,1,2,0
325,Iteration_7,1,0,0,1,0,0
420,Iteration_7,0,0,0,0,0,0
345,Iteration_7,0,0,0,0,0,0
317,Iteration_7,1,2,0,1,2,1
321,Iteration_7,0,0,0,0,0,0
450,Iteration_7,1,2,0,1,2,0
319,Iteration_7,0,0,0,0,0,0
139,Iteration_7,1,2,0,1,1,1
340,Iteration_7,1,2,0,1,1,1
233,Iteration_7,1,2,1,1,1,1
45,Iteration_7,0,0,0,0,0,0
127,Iteration_7,1,2,1,1,2,1
404,Iteration_7,1,2,1,1,2,1
376,Iteration_7,1,2,1,1,2,0
177,Iteration_7,1,1,1,1,2,1
365,Iteration_7,0,0,0,0,0,0
369,Iteration_7,1,2,0,1,1,0
205,Iteration_7,0,0,0,0,0,0
66,Iteration_7,0,0,0,0,0,0
89,Iteration_7,0,0,0,0,0,0
366,Iteration_7,1,2,0,1,2,1
77,Iteration_7,1,2,1,1,2,1
221,Iteration_7,1,2,0,1,2,1
440,Iteration_7,0,0,0,0,0,0
253,Iteration_7,0,0,0,0,0,0
213,Iteration_7,0,0,0,0,0,0
14,Iteration_7,0,0,0,1,2,0
109,Iteration_7,1,2,0,1,2,0
428,Iteration_7,1,2,0,1,2,0
418,Iteration_7,0,0,0,0,0,0
335,Iteration_7,1,2,1,1,2,1
274,Iteration_7,1,0,0,1,0,0
55,Iteration_7,0,0,0,0,0,0
76,Iteration_7,0,0,0,0,0,0
240,Iteration_7,1,2,0,1,2,0
444,Iteration_7,1,2,0,1,2,1
62,Iteration_7,1,2,0,1,2,1
118,Iteration_7,0,0,0,0,0,0
21,Iteration_7,1,2,1,1,2,1
47,Iteration_7,1,0,0,1,0,0
67,Iteration_7,1,1,0,1,1,0
324,Iteration_7,0,0,0,0,0,0
362,Iteration_7,1,2,0,1,1,0
379,Iteration_7,1,1,1,1,1,1
327,Iteration_7,1,2,0,1,2,0
194,Iteration_7,1,2,0,1,2,0
112,Iteration_7,0,0,0,0,0,0
19,Iteration_7,0,0,0,0,0,0
434,Iteration_7,1,2,1,1,1,1
4,Iteration_7,1,1,1,1,1,1
432,Iteration_7,1,1,0,1,2,1
134,Iteration_7,1,0,0,1,0,0
18,Iteration_7,0,0,0,0,0,0
299,Iteration_7,0,0,0,0,0,0
350,Iteration_7,1,0,0,1,0,1
289,Iteration_7,0,0,0,0,0,0
338,Iteration_7,0,0,0,0,0,0
100,Iteration_7,1,0,0,1,0,0
88,Iteration_7,0,0,0,0,0,0
318,Iteration_7,1,2,1,1,2,1
217,Iteration_7,1,2,0,1,2,0
352,Iteration_7,1,2,0,1,1,1
439,Iteration_7,0,0,0,0,0,0
174,Iteration_7,0,0,0,0,0,0
1,Iteration_7,0,0,0,0,0,0
16,Iteration_7,0,0,0,0,0,0
374,Iteration_7,1,2,1,1,2,1
65,Iteration_7,1,1,0,1,0,0
339,Iteration_7,1,1,0,1,0,0
22,Iteration_7,0,0,0,0,0,0
272,Iteration_7,0,0,0,0,0,0
394,Iteration_7,0,0,0,0,0,0
94,Iteration_7,0,0,0,0,0,0
188,Iteration_7,1,0,0,1,0,0
414,Iteration_7,1,2,0,1,2,0
237,Iteration_7,1,2,0,1,1,0
186,Iteration_7,0,0,0,0,0,0
438,Iteration_7,0,0,0,0,0,0
314,Iteration_7,1,1,0,1,1,0
392,Iteration_7,0,0,0,0,0,0
245,Iteration_7,0,0,0,0,0,0
337,Iteration_7,0,0,0,0,0,0
309,Iteration_7,0,0,0,0,0,0
381,Iteration_7,1,2,0,1,2,1
278,Iteration_7,0,0,0,0,0,0
176,Iteration_7,1,2,0,1,2,1
351,Iteration_7,1,0,0,1,0,0
227,Iteration_7,0,0,0,0,0,0
108,Iteration_7,0,0,0,0,0,0
63,Iteration_7,1,2,0,1,1,1
410,Iteration_7,0,0,0,0,0,0
224,Iteration_7,1,2,0,1,1,0
131,Iteration_7,0,0,0,0,0,0
313,Iteration_7,0,0,0,0,0,0
86,Iteration_7,0,0,0,0,0,0
